Pitch,Velocity,Position,Length
64,57,0.0,4043
76,60,0.0,4039
67,63,0.0,4023
71,78,0.0,4047
64,64,8.0,2523
76,74,8.0,2773
67,78,8.0,2646
71,81,8.0,2671
75,54,12.0,17
66,66,12.0,3129
71,68,12.0,3200
63,70,12.0,3101
59,76,12.0,3080
