Pitch,Velocity,Position,Length
79,86,0.0,81
79,84,0.5,196
79,79,1.0,213
79,81,1.5,212
79,70,2.0,229
79,81,2.5,209
79,80,3.0,205
79,79,3.5,201
79,86,4.0,217
79,80,4.5,201
79,86,5.0,205
79,89,5.5,225
79,93,6.0,201
79,89,6.5,221
79,94,7.0,213
79,99,7.5,205
79,105,8.0,209
79,101,8.5,205
79,109,9.0,192
79,111,9.5,176
79,113,10.0,200
79,113,10.5,196
79,114,11.0,200
79,114,11.5,167
