Pitch,Velocity,Position,Length
36,90,0.0,504
42,114,1.0,541
36,86,2.0,610
38,107,3.0,528
36,94,4.0,606
42,113,5.0,307
36,88,6.0,458
38,96,7.0,401
36,88,8.0,426
42,118,9.0,275
36,76,10.0,381
38,99,11.0,332
42,118,14.0,275
38,93,15.007291666667,254
38,95,15.271875,184
38,95,15.75,184
